Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
26.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),191yv3mlrk964ybeg2ilya9sk,2025-11-24 20:00:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,L 1-2,19.0,178.0,36.0%,40.0%,23.0,22.0,1.0,54.0,66,59.7%,70.8%,55.0%,28,13.0,61.0,6.0,61,21.0,45,0.0,57.1%,4.0,4.0,1.0,68.0,114.0,82.0,78.0,50.0,196,3.0,1.0,0.0,0.0,30.2%,149,1.82,61.5%,30.0,23.0,2.0,1.0,381.0,35.5,18.0,-,20.7%,3.4%,17.2%,18.8%,33.4,30.2%,22.0,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),17xoblao6gdkidisaddnrpa1g,2025-11-08 15:15:00,10eyb18v5puw4ez03ocaug09m,True,False,True,False,False,SEV,SEV,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,W 1-0,19.0,126.0,31.4%,40.0%,15.0,21.0,3.0,36.0,45,42.6%,51.3%,60.8%,26,16.0,45.0,2.0,45,8.0,25,0.0,56.6%,5.0,0.0,0.0,77.0,141.0,113.0,128.0,49.0,254,5.0,1.0,0.0,0.0,39.3%,127,1.7,54.2%,38.0,20.0,2.0,4.0,237.0,35.5,27.0,-,19.2%,19.2%,15.4%,65.4%,25.1,39.3%,10.0,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),10qg7chtpoj0knqnvx2oduot0,2025-11-01 15:15:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,L 0-3,27.0,122.0,18.2%,36.4%,13.0,27.0,2.0,35.0,82,53.2%,52.1%,57.7%,46,15.0,84.0,8.0,84,9.0,21,0.0,62.9%,6.0,3.0,0.0,107.0,168.0,133.0,143.0,51.0,301,7.0,0.0,0.0,0.0,31.5%,167,0.35,58.2%,44.0,24.0,1.0,2.0,395.0,38.9,17.0,-,30.8%,3.8%,11.5%,17.2%,22.5,31.5%,10.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),xcapf185ght9jj3jcgj4v0us,2025-10-24 19:00:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,L 1-2,19.0,142.0,35.7%,39.3%,16.0,17.0,5.0,50.0,55,61.7%,59.1%,55.8%,22,16.0,44.0,1.0,44,3.0,52,1.0,53.0%,4.0,4.0,0.0,61.0,101.0,98.0,85.0,53.0,199,6.0,1.0,0.0,0.0,37.9%,176,0.23,50.0%,34.0,17.0,0.0,0.0,338.0,34.2,23.0,-,32.3%,0.0%,22.6%,10.4%,26.3,37.9%,6.0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),wlegmdabr8ruispvl8gtzv9w,2025-10-18 12:00:00,10eyb18v5puw4ez03ocaug09m,True,False,False,True,False,SEV,SEV,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,L 1-3,12.0,138.0,23.8%,38.1%,15.0,23.0,2.0,41.0,53,56.5%,58.4%,56.6%,25,11.0,51.0,6.0,51,9.0,41,0.0,56.4%,2.0,8.0,0.0,62.0,108.0,109.0,101.0,54.0,217,2.0,1.0,0.0,0.0,33.4%,138,1.26,58.3%,29.0,19.0,2.0,4.0,327.0,34.6,19.0,-,9.5%,9.5%,19.0%,55.5%,26.6,33.4%,13.0,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),rbyhgw1kyp0ghg2qpvznvvv8,2025-10-05 14:15:00,10eyb18v5puw4ez03ocaug09m,True,False,True,False,False,SEV,SEV,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,W 4-1,30.0,114.0,13.3%,33.3%,15.0,24.0,3.0,17.0,32,32.4%,44.2%,61.4%,33,9.0,45.0,11.0,45,7.0,15,0.0,60.5%,8.0,7.0,0.0,89.0,152.0,112.0,116.0,59.0,264,8.0,3.0,0.0,1.0,39.8%,106,2.76,45.5%,25.0,17.0,1.0,2.0,133.0,34.2,14.0,-,29.4%,29.4%,23.5%,76.1%,22.3,39.8%,13.0,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),nl5iakd17ewjayh3ah21iolw,2025-09-28 12:00:00,10eyb18v5puw4ez03ocaug09m,False,True,True,False,False,SEV,SEV,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,W 1-0,26.0,89.0,27.0%,29.7%,19.0,29.0,1.0,27.0,37,34.8%,37.9%,62.4%,18,6.0,27.0,3.0,27,0.0,16,0.0,51.2%,10.0,7.0,0.0,86.0,142.0,150.0,134.0,72.0,292,10.0,1.0,0.0,0.0,49.3%,138,0.55,54.5%,28.0,17.0,1.0,1.0,141.0,33.4,16.0,-,27.3%,18.2%,40.9%,21.4%,18.9,49.3%,4.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),jtywnxc2k08euwiq1ssvws9g,2025-09-23 19:30:00,10eyb18v5puw4ez03ocaug09m,True,False,False,True,False,SEV,SEV,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,L 1-2,26.0,223.0,32.3%,35.5%,13.0,23.0,4.0,76.0,78,64.5%,65.2%,54.5%,24,18.0,55.0,3.0,55,13.0,42,0.0,53.9%,7.0,8.0,0.0,62.0,114.0,101.0,90.0,63.0,215,5.0,1.0,0.0,0.0,30.2%,181,0.97,57.1%,36.0,29.0,1.0,7.0,356.0,30.6,33.0,-,14.7%,0.0%,17.6%,31.3%,26.2,30.2%,16.0,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),e7g814p4n7r5gtpdqewz89p0,2025-09-20 16:30:00,10eyb18v5puw4ez03ocaug09m,False,True,True,False,False,SEV,SEV,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,W 2-1,13.0,129.0,25.7%,28.6%,20.0,25.0,4.0,31.0,43,41.4%,60.1%,61.9%,40,11.0,56.0,6.0,56,6.0,32,0.0,45.9%,2.0,7.0,0.0,73.0,148.0,94.0,116.0,53.0,242,4.0,2.0,0.0,0.0,33.6%,142,0.48,58.9%,41.0,12.0,1.0,1.0,317.0,33.8,18.0,-,0.0%,16.0%,40.0%,45.8%,23.1,33.6%,9.0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),du8jha9qxukb7ki17m3y3aj8,2025-09-12 19:00:00,10eyb18v5puw4ez03ocaug09m,True,False,False,False,True,SEV,SEV,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,D 2-2,16.0,205.0,33.3%,44.4%,25.0,16.0,7.0,39.0,42,65.6%,40.8%,40.1%,24,19.0,56.0,5.0,56,3.0,57,0.0,54.0%,6.0,10.0,0.0,47.0,95.0,131.0,91.0,88.0,226,4.0,2.0,0.0,0.0,36.5%,143,0.4,72.2%,31.0,16.0,6.0,6.0,305.0,27.5,17.0,-,9.7%,6.5%,35.5%,35.7%,26.2,36.5%,7.0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),91dd8ia3m0bxoqzjgyo3ptsk,2025-08-30 17:30:00,10eyb18v5puw4ez03ocaug09m,False,True,True,False,False,SEV,SEV,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,W 2-0,43.0,88.0,27.3%,27.3%,14.0,18.0,5.0,27.0,36,32.9%,46.9%,67.9%,19,9.0,24.0,2.0,24,8.0,21,0.0,54.6%,6.0,6.0,0.0,95.0,166.0,132.0,144.0,59.0,298,7.0,2.0,0.0,0.0,33.2%,107,1.32,45.5%,30.0,13.0,1.0,1.0,232.0,31.4,10.0,-,11.8%,23.5%,23.5%,63.1%,18.4,33.2%,13.0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3677z72kaa3hckjtmi5qnb4k,2025-08-25 19:30:00,10eyb18v5puw4ez03ocaug09m,True,False,False,True,False,SEV,SEV,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,L 1-2,17.0,186.0,38.1%,40.5%,20.0,24.0,3.0,67.0,97,74.2%,66.4%,51.1%,23,23.0,47.0,4.0,47,11.0,47,0.0,57.9%,4.0,6.0,0.0,55.0,92.0,96.0,76.0,57.0,188,1.0,1.0,0.0,0.0,28.1%,150,0.51,67.6%,48.0,32.0,6.0,6.0,457.0,33.5,20.0,-,5.9%,5.9%,17.6%,29.4%,26.9,28.1%,12.0,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),ine2hgzsb0qatru98nl045w,2025-08-17 17:30:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,L 2-3,29.0,116.0,31.7%,39.0%,24.0,32.0,0.0,42.0,58,46.4%,59.4%,63.9%,32,20.0,53.0,5.0,53,8.0,37,0.0,53.4%,7.0,4.0,0.0,78.0,151.0,106.0,126.0,53.0,257,4.0,1.0,0.0,1.0,32.3%,154,1.01,54.4%,26.0,17.0,1.0,3.0,270.0,36.1,17.0,-,24.0%,8.0%,8.0%,9.6%,17.4,32.3%,12.0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026-08-15_SEV-RAY,2026-08-15 00:00:00,,True,False,,,,SEV,,,,RAY,,W 2-1,,,35.6%,42.2%,,,,,49,,,,24,,,,45,,32,,,,,,,,,,,292,,,,,43.9%,140,2.19,,,,,,,,,,,,,,,43.9%,,24,2,Total,13.0,4.1,54.9%,3.0,99.0,57.0,7.0,69.0,21.0,0.0,6.0,35.0,52.0,12.0,42.0,0.168,11.0,19.0,10.0,0.0,20.4%,22.6%,14.0,231.0,7.0,7.0,124.0,40.0,14.0,16.0,0.0,0.0,48.0,21.0,11.0,10.0,-,540.0,319.0,72.4%,73.9%,7.0,0.0,0.61,10.0,13.0,4.0,30.8%,48.1%,50.0%,50.0%,45.0,2.0
,,,,,,,2026-08-22_ATH-SEV,2026-08-22 00:00:00,,False,True,,,,SEV,,,,ATH,,W 3-1,,,21.9%,28.1%,,,,,42,,,,24,,,,34,,18,,,,,,,,,,,396,,,,,45.1%,128,1.26,,,,,,,,,,,,,,,45.1%,,8,2,Total,3.0,3.73,39.3%,1.0,51.0,73.0,14.0,25.0,10.0,1.0,1.0,37.0,28.0,3.0,41.0,0.18,6.0,41.0,9.0,1.0,25.0%,16.5%,16.0,208.0,3.0,12.0,129.0,39.0,16.0,16.0,0.0,0.0,48.0,33.0,11.0,22.0,-,507.0,284.0,73.6%,76.0%,5.0,2.0,0.17,6.0,7.0,4.0,57.1%,37.2%,45.0%,43.6%,41.0,3.0
,,,,,,,2026-08-29_SEV-ATM,2026-08-29 00:00:00,,True,False,,,,SEV,,,,ATM,,L 1-3,,,50.0%,57.9%,,,,,50,,,,0,,,,0,,53,,,,,,,,,,,0,,,,,37.9%,136,0.96,,,,,,,,,,,,,,,37.9%,,23,1,Total,12.0,3.27,-,2.0,84.0,38.0,13.0,108.0,0.0,1.0,0.0,0.0,72.0,0.0,38.0,0.045,10.0,10.0,14.0,1.0,20.6%,25.3%,19.0,289.0,17.0,5.0,120.0,35.0,19.0,0.0,0.0,15.0,0.0,11.0,33.0,-22.0,-,545.0,359.0,80.8%,85.2%,18.0,1.0,0.83,15.0,21.0,5.0,23.8%,28.6%,46.7%,51.4%,38.0,1.0
